Période,Produit,Sous-Type de Produit/Catégorie/Article,Mode de Transport,Origine,Destination,Port,Activité,Unité,Valeurs
1990Q1,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,MW.h,10287.2
1990Q1,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$,284099.13
1990Q1,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$/MW.h,27.61675966
1990Q1,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,MW.h,3734462
1990Q1,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$,123446082.1
1990Q1,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$/MW.h,33.05592134
1990Q1,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,MW.h,458010
1990Q1,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$,7267257.7
1990Q1,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$/MW.h,15.86702845
1990Q1,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,MW.h,48224
1990Q1,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$,1620475.01
1990Q1,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$/MW.h,33.60308166
1990Q1,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,MW.h,26
1990Q1,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$,1465.47
1990Q1,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$/MW.h,56.36423077
1990Q1,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,MW.h,87562
1990Q1,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$,3905434.71
1990Q1,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$/MW.h,44.60193589
1990Q1,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,MW.h,30598
1990Q1,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$,3705076.66
