Period,Product,Product subtype/Category/Commodity,Mode of transportation,Origin,Destination,Port,Activity,Units,Value
1990Q1,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,MW.h,227.236
1990Q1,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$,14580
1990Q1,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$/MW.h,64.16236864
1990Q1,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,MW.h,453509
1990Q1,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$,14298291.55
1990Q1,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$/MW.h,31.52813186
1990Q1,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,MW.h,219560
1990Q1,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$,6375225.97
1990Q1,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$/MW.h,29.03637261
1990Q1,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,MW.h,453541
1990Q1,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$,230128
1990Q1,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$/MW.h,0.5074028588
1990Q1,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,MW.h,36680.95
1990Q1,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$,1565036.27
1990Q1,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$/MW.h,42.66618694
1990Q1,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,MW.h,12140
1990Q1,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$,285813.76
1990Q1,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$/MW.h,23.54314333
1990Q1,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,MW.h,549477.23
1990Q1,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$,22735985.02
1990Q1,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$/MW.h,41.3774835
1990Q1,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,MW.h,427774
1990Q1,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$,24980549
1990Q1,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$/MW.h,58.39660428
1990Q1,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,MW.h,342.94
1990Q1,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$,0
1990Q1,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$/MW.h,0
1990Q1,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,MW.h,97053.788
1990Q1,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$,638803.56
1990Q1,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$/MW.h,6.581953916
1990Q1,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,MW.h,60760
1990Q1,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$,2231948.4
1990Q1,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$/MW.h,36.73384463
1990Q1,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,MW.h,-5187
1990Q1,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$,261401.55
1990Q1,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$/MW.h,-50.39551764
1990Q1,Electricity,N/A,N/A,Québec,New York,N/A,Exports,MW.h,22948
1990Q1,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$,622954.76
1990Q1,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$/MW.h,27.14636395
1990Q1,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,MW.h,479577
1990Q1,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$,18930177.57
1990Q1,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$/MW.h,39.47265521
1990Q1,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,MW.h,9229
1990Q1,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$,0
1990Q1,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$/MW.h,0
1990Q1,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,MW.h,63659
1990Q1,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$,284099.13
